Project Name,no_change,explicit,explicit_unsafe,flexible,flexible_unsafe,
"playJson",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"pprint",SUCCESS,NO_JAVA_CLASS,SUCCESS,SUCCESS,SUCCESS,
"protoquill",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"requests",SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,
"scalacheck",FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,
"scalaCollectionCompat",SUCCESS,FAILURE,SUCCESS,FAILURE,SUCCESS,
"scalaJava8Compat",SUCCESS,FAILURE,FAILURE,FAILURE,FAILURE,
"scalap",SUCCESS,FAILURE,SUCCESS,FAILURE,SUCCESS,
"scalaParallelCollections",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scalaParserCombinators",FAILURE,FAILURE,SUCCESS,FAILURE,SUCCESS,
"scalaPB",SUCCESS,FAILURE,FAILURE,FAILURE,SUCCESS,
"scalatestplusScalacheck",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scalaXml",SUCCESS,FAILURE,FAILURE,FAILURE,SUCCESS,
"scalaz",NO_JAVA_CLASS,NO_JAVA_CLASS,FAILURE,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scas",SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,
"sconfig",NO_JAVA_CLASS,FAILURE,FAILURE,FAILURE,FAILURE,
"shapeless",FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,
"sourcecode",SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,
"specs2",FAILURE,FAILURE,SUCCESS,FAILURE,FAILURE,
"stdLib213",FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,
"ujson",NO_JAVA_CLASS,FAILURE,SUCCESS,SUCCESS,SUCCESS,
"upickle",NO_JAVA_CLASS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,
"utest",SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,
"verify",SUCCESS,FAILURE,SUCCESS,FAILURE,SUCCESS,
"xmlInterpolator",SUCCESS,FAILURE,SUCCESS,FAILURE,SUCCESS,
